id,name,lat,long,street
1621,Turowicza 01,50.01506,19.94439,Trasa Łagiewnicka
1622,Kurdwanów P+R 03,50.01409,19.94783,Witosa
1623,Kurdwanów P+R 01,50.01356,19.95042,Witosa
1624,Witosa 02,50.012424,19.95579,Witosa
1625,Nowosądecka 02,50.013437,19.964684,Witosa
1626,Piaski Nowe 02,50.015447,19.971604,Nowosądecka
1627,Dauna 02,50.018408,19.977585,Nowosądecka
1628,Bieżanowska 04,50.023609,19.979431,Nowosądecka
1629,Mackiewicza 03,50.090679722,19.944044444,Mackiewicza
1630,Clepardia 01,50.094079444,19.945286666,Mackiewicza
1631,Siewna Wiadukt 04,50.096474444,19.947223333,Siewna
1632,Zielonki Galicyjska,50.122156666,19.932343055,Zielonki ul. Galicyjska
1633,Trojanowice Krakowska,50.137018611,19.91296,Trojanowice ul. Krakowska
1634,Trojanowice Pętla,50.140978055,19.910838611, 
1635,Siewna 01,50.098954166,19.94738,Siewna
1636,Siewna Wiadukt 06,50.095858055,19.946498888,Mackiewicza
1637,Clepardia 02,50.093211388,19.944814444,Mackiewicza
1638,Rzozów Szkoła,49.952844166,19.7951175,Rzozów
1640,Krzęcin Sklep,49.941212777,19.750146111,Krzęcin ul. Kalwaryjska
1641,Krzęcin Cmentarz,49.9439975,19.745205277,Krzęcin ul. św. Floriana
1642,Krzęcin Kościół,49.943720555,19.74139,Krzęcin ul. św. Floriana
1643,Krzęcin Kapliczka,49.945501111,19.732935277,Krzęcin ul. Krakowska
1644,Krzęcin Szczęsna,49.947945277,19.730322222,Krzęcin ul. Krakowska
1645,Krzęcin Pętla,49.952702222,19.729412222,Krzęcin ul. Krakowska
1646,Krzęcin Szkoła,49.943812222,19.738990277,Krzęcin ul. św. Floriana
1647,Skawina,49.9684975,19.8298025,Skawina ul. Jana Pawła II
1648,Skawina Ajka,49.971330555,19.829223333,Skawina ul. Popiełuszki
1649,Skawina Popiełuszki,49.974242777,19.830657222,Skawina ul. Popiełuszki
1650,Piasta Kołodzieja 06,50.09808,20.01367,Popielidów
1651,Popielidów 02,50.09945,20.0197,Popielidów
1652,Kruszwicka 01,50.09747,20.01921,Kruszwicka
1653,Łęczycka 01,50.092868333,20.006270555,Wiślicka
1654,Cedyńska 01,50.090283888,20.004309722,Wiślicka
1655,Cichy Kącik 04,50.06301,19.90367,Igrców
1656,Wiślicka 04,50.088159166,20.001520277,Wiślicka
1657,Łęczycka 02,50.092866944,20.006484166,Wiślicka
1658,Kruszwicka 02,50.09774,20.02004,Kruszwicka
1659,Popielidów 01,50.09931,20.01767,Popielidów
1660,Zajezdnia Wola Duchacka 01,50.023863333,19.958632777,Puszkarska
1661,Puszkarska 01,50.027072222,19.948585,Puszkarska
1662,Puszkarska 02,50.026069722,19.949235833,Puszkarska
1663,Podgórze SKA 08,50.041831944,19.962539444,Powstanców Wielkopolskich
1664,Kuklińskiego 03,50.045343055,19.9747175,Nowohucka
1665,Zajezdnia Płaszów 01,50.035260555,20.011705833,Biskupińska
1666,Biskupińska 02,50.03619,20.013769444,Obrońców Modlina
1667,Botewa 04,50.038426388,20.026868888,Rybitwy
1668,Rybitwy Sklep 02,50.041566666,20.028694444,Rybitwy
1669,Rybitwy Dom Kultury 02,50.042833888,20.035687777,Rybitwy
1670,Rybitwy Rozjazd 02,50.046097777,20.044234722,Rybitwy
1671,Szparagowa 04,50.043289722,20.045618611,Rączna
1672,Ks.Targosza 02,50.042790555,20.052462777,Rączna
1673,Przewóz 02,50.041851388,20.063220833,Wrobela
1674,Husarska 02,50.044549444,20.06625,Wrobela
1675,Wrobela 02,50.047584722,20.066327222,Wrobela
1676,Podwierzbie 01,50.047624722,20.05997,Wrobela
1677,Wrobela 01,50.047367777,20.065761388,Wrobela
1678,Husarska 01,50.043716666,20.065616388,Wrobela
1679,Przewóz 01,50.041808333,20.061388611,Rączna
1680,Ks.Targosza 01,50.042738611,20.053226944,Rączna
1681,Szparagowa 06,50.04441,20.045253055,Szparagowa
1682,Rybitwy Rozjazd 01,50.046086666,20.043808055,Rybitwy
1683,Rybitwy Dom Kultury 01,50.042679444,20.035150277,Rybitwy
1684,Rybitwy Sklep 01,50.041524722,20.028321111,Rybitwy
1685,Albatrosów 06,50.037341944,20.018201111,Brandla
1686,Biskupińska 01,50.036304722,20.013541388,Obrońców Modlina
1687,Stoczniowców 02,50.048756944,19.981015277,Nowohucka
1688,Kuklińskiego 05,50.044956944,19.972054444,Powstanców Wielkopolskich
1689,Kocmyrzów Rondo,50.133731944,20.114206944,Kocmyrzów ul. Centralna
1690,Kocmyrzów Krzyżówka,50.133575,20.125917777,Kocmyrzów ul. Centralna
1691,Kocmyrzów Biblioteka,50.130398611,20.130112777,Kocmyrzów ul. Centralna
1692,Kocmyrzów Sodfiny,50.129928333,20.137105555,Kocmyrzów ul. Centralna
1693,Głęboka Kolonia,50.132150833,20.144478055,Sodfiny
1694,Głęboka Staw,50.133114444,20.149221666,Głęboka
1695,Głęboka Zakręt,50.128088888,20.15451,Głęboka
1696,Karniów Szkoła,50.131451666,20.171100833, 
1697,Pleszów 01,50.072893,20.11689,Igołomska
1698,Koksochemia 02,50.071926,20.104459,Igołomska
1699,Meksyk 02,50.069892,20.095243,Igołomska
1700,Brama nr 5 02,50.069071,20.091584,Igołomska
1701,Giedroycia 02,50.06473,20.08479,Igołomska
1702,Brama nr 4 02,50.064899,20.075212,Igołomska
1703,Fort Mogiła 02,50.066394,20.071325,Igołomska
1704,Bardosa 02,50.067772,20.064912,Ptaszyckiego
1705,Suche Stawy 02,50.067515,20.059695,Ptaszyckiego
1706,Klasztorna 02,50.068478,20.053009,al. Jana Pawła II
